miRNA	Spearman_r	p_value
hsa-miR-6877-5p	0.003266474280153295	0.9254989420698302
hsa-miR-3945	0.003261446767260962	0.9256132760786133
hsa-miR-3529-5p	0.003202521943588782	0.9269534383124104
hsa-miR-3179	0.003152338572723726	0.9280949517729828
hsa-miR-4469	0.002991618607156529	0.931751806890371
hsa-miR-12117	0.002968364354320852	0.9322810309393438
hsa-miR-3162-3p	0.002952544281970231	0.9326410838002461
hsa-miR-4727-3p	0.0029425632377623836	0.9328682518869825
hsa-miR-1225-3p	0.0027862892097562297	0.936425741234193
hsa-miR-34c-5p	0.0027236759637676465	0.9378514557290414
hsa-miR-6857-5p	0.002663023767839641	0.9392327064742796
hsa-miR-6859-5p	0.0026155820536855647	0.9403132383530404
hsa-miR-376b-3p	0.002590418663647464	0.9408864040479386
hsa-miR-6787-3p	0.0025484826748379515	0.9418416797588383
hsa-miR-4427	0.002448674761353807	0.9441155752680521
hsa-miR-4777-3p	0.0023885422339671994	0.9454857783080756
hsa-miR-187-3p	0.002370446875258918	0.9458981378513326
hsa-miR-29b-2-5p	0.0023317174080177265	0.9467807588045686
hsa-miR-7155-3p	0.002306470352000485	0.9473561589967857
hsa-miR-3195	0.002290005753899418	0.9477314148747448
hsa-miR-4477b	0.0022588641579949632	0.9484412157947226
hsa-miR-611	0.0021327067391124412	0.9513170955119779
hsa-miR-6132	0.002120891427098027	0.9515864699110415
hsa-miR-513c-5p	0.0021194684756918104	0.9516189118041031
hsa-miR-6509-5p	0.0020459530698087513	0.9532950984309794
hsa-miR-6755-5p	0.00202701307659519	0.953726973097589
hsa-miR-1304-5p	0.0019964079944694395	0.9544248667756927
hsa-miR-301b-5p	0.0018983792027355954	0.9566604686615897
hsa-miR-4520-2-3p	0.0018469207704642195	0.9578341445642978
hsa-miR-501-3p	0.0017988932531925708	0.9589296497351287
hsa-miR-6824-3p	0.0016531336774834853	0.9622548835698529
hsa-miR-6850-5p	0.0016522612162715707	0.9622747891820035
hsa-miR-4743-3p	0.0016316044846978938	0.9627460890402276
hsa-miR-596	0.0016290515626728324	0.9628043369043094
hsa-miR-6809-5p	0.0014814207036025061	0.966173032507115
hsa-miR-5684	0.001313229337276501	0.9700116164510734
hsa-miR-4270	0.001307676755890272	0.970138353758861
hsa-miR-10396b-5p	0.0013049519344975804	0.9702005479048685
hsa-miR-6805-5p	0.0013049185054248486	0.9702013109257765
hsa-miR-6768-5p	0.001290793715764395	0.9705237126587025
hsa-miR-4670-3p	0.0012347674073869626	0.9718025735187527
hsa-miR-5187-5p	0.0012280461677345908	0.9719559979827626
hsa-miR-6734-3p	0.0011804322078887346	0.9730429021554994
hsa-miR-4635	0.0011510259484274663	0.9737141964744764
hsa-miR-548n	0.0010529076093712306	0.9759542011713969
hsa-miR-6778-3p	0.0010402733693954983	0.9762426502371192
hsa-miR-770-5p	0.000984723802878431	0.9775109243120446
hsa-miR-6728-3p	0.0009684083359854496	0.9778834401003578
hsa-miR-6511a-5p	0.0007984725918068102	0.9817636950336058
hsa-miR-3184-5p	0.0007923400652819278	0.981903731658958
hsa-miR-675-3p	0.0006371959406594422	0.9854466309696152
hsa-miR-6788-3p	0.0006101705523226731	0.9860638188935499
hsa-miR-4763-3p	0.000494127534872753	0.988714022508463
hsa-miR-28-3p	0.00044909942905124685	0.989742414583797
hsa-miR-2467-3p	0.00040713649523278615	0.9907008168734832
hsa-miR-4757-5p	0.00030626891035219104	0.9930046098614386
hsa-miR-6732-5p	-3.5182428125636704e-05	0.9991963992809367
hsa-miR-2277-5p	-0.00018888884712130112	0.9956856161235443
hsa-miR-3144-5p	-0.00022394202976342358	0.9948849813471691
hsa-miR-4779	-0.00027018243394121824	0.9938288320157714
hsa-miR-6874-5p	-0.0003285226667104268	0.9924963333875925
hsa-miR-656-5p	-0.0003545772935426329	0.9919012487938131
hsa-miR-658	-0.0003878685416970538	0.9911408872139227
hsa-miR-455-5p	-0.0004527528811065645	0.9896589731274387
hsa-miR-139-3p	-0.00045424179676317554	0.9896249677071444
hsa-miR-6512-5p	-0.0005602823688744706	0.9872031537892879
hsa-miR-450a-2-3p	-0.0006322860498104845	0.985558759170265
hsa-miR-3124-5p	-0.0006428320706069109	0.9853179178492023
hsa-miR-6857-3p	-0.0007767818009446922	0.9822590080820582
hsa-miR-6499-5p	-0.0008089577286288569	0.9815242675825973
hsa-miR-1182	-0.0008089577286288569	0.9815242675825973
hsa-miR-3923	-0.0008089577286288569	0.9815242675825973
hsa-miR-640	-0.0008089577286288569	0.9815242675825973
hsa-miR-1282	-0.0008089577286288569	0.9815242675825973
hsa-miR-504-3p	-0.0008395905539526099	0.9808247785056577
hsa-let-7b-5p	-0.0008769921953032443	0.9799707460597117
hsa-miR-4318	-0.000902441383856966	0.9793896500378854
hsa-miR-6501-5p	-0.0009856509827103936	0.9774897550287985
hsa-miR-4638-5p	-0.0009998234938629609	0.9771661715576102
hsa-miR-381-5p	-0.001019144517965569	0.9767250444910907
hsa-miR-4714-5p	-0.0011489119034028055	0.9737624572076038
hsa-miR-639	-0.0012217095457387086	0.9721006438011738
hsa-miR-6785-5p	-0.0012291529830746782	0.9719307328473148
hsa-miR-631	-0.0012450755281417827	0.9715672740250416
hsa-miR-3190-5p	-0.0013312989040576446	0.9695991850179583
hsa-miR-4645-5p	-0.0013843769947073502	0.9683877438260805
hsa-miR-499b-5p	-0.0013845816063392813	0.9683830739599776
hsa-miR-155-5p	-0.0014157797112415867	0.9676710501076148
hsa-miR-3917	-0.001421631291163894	0.967537504315671
hsa-miR-194-3p	-0.0014449430018341352	0.9670054893900044
hsa-miR-4326	-0.001462574007054631	0.966603128044546
hsa-miR-921	-0.0016319634092585309	0.9627378997778013
hsa-miR-132-5p	-0.0016462287146611536	0.9624124241799322
hsa-miR-135b-3p	-0.0017649986806447789	0.9597028298952565
hsa-miR-4520-3p	-0.0018092358940409367	0.9586937280234208
hsa-miR-1179	-0.0018389773094018567	0.9580153290671285
hsa-miR-6830-5p	-0.0019021321316011635	0.9565748746249806
hsa-miR-1914-5p	-0.001909861239836425	0.9563985963944943
hsa-miR-4436b-3p	-0.0019295679497441853	0.9559491539436913
hsa-miR-146b-3p	-0.001954070290975215	0.9553903591060268
hsa-miR-29b-1-5p	-0.002018422587470183	0.9539228601503509
hsa-miR-4739	-0.002186043111968568	0.95010116218852
hsa-miR-4772-5p	-0.002238322305291196	0.9489094423850136
hsa-miR-3686	-0.002278201872685443	0.9480004523052501
hsa-miR-4767	-0.002499492694099015	0.9429577466865
hsa-miR-6736-3p	-0.002500805147208761	0.9429278455238026
hsa-miR-625-5p	-0.002553614939294641	0.9417247654579175
hsa-miR-548b-3p	-0.002636912354654131	0.9398274059996437
hsa-miR-4253	-0.002721039632660701	0.9379114898421539
hsa-miR-8058	-0.002721039632660701	0.9379114898421539
hsa-miR-4537	-0.002721039632660701	0.9379114898421539
hsa-miR-558	-0.002721039632660701	0.9379114898421539
hsa-miR-5004-5p	-0.002769831214481871	0.9368004731226786
hsa-miR-6877-3p	-0.0028188766043001335	0.9356838008052675
hsa-miR-4659a-5p	-0.002985782547876793	0.9318846220503255
hsa-miR-10397-5p	-0.0030333982167358863	0.9308010555891945
hsa-miR-4747-3p	-0.0032134871492056926	0.9267040343530436
hsa-miR-5192	-0.003283300901430134	0.9251162878890716
hsa-miR-6782-5p	-0.003288135516030062	0.9250063471165683
hsa-miR-4536-5p	-0.0032942459878024465	0.9248673949656929
hsa-miR-5009-3p	-0.003299259162617164	0.9247533970600995
hsa-miR-6787-5p	-0.003305894797765311	0.9246025073256231
hsa-let-7e-3p	-0.0033382799162385715	0.9238661311782783
hsa-miR-6875-5p	-0.0034150363939131627	0.9221210957240116
hsa-miR-16-2-3p	-0.0034823652199117944	0.9205907028425132
hsa-miR-6769a-3p	-0.0034967511403536933	0.9202637468822524
hsa-miR-6767-5p	-0.0035005254586428884	0.920177968301227
hsa-miR-3181	-0.0036383707701950437	0.9170458139481177
hsa-miR-12119	-0.0036770805846766228	0.9161664691953587
hsa-miR-302d-3p	-0.0036770805846766228	0.9161664691953587
hsa-miR-4715-3p	-0.003746879699395817	0.9145811492324497
hsa-miR-6090	-0.0038162325467361626	0.9130063010241387
hsa-miR-6514-5p	-0.0038832067973460027	0.9114857889467431
hsa-miR-944	-0.003907350878874551	0.910937726456398
hsa-miR-3934-3p	-0.0039202371669959345	0.910645229365157
hsa-miR-4731-5p	-0.00399725629454356	0.9088972779259611
hsa-miR-4726-3p	-0.004063354562282817	0.9073975263708184
hsa-miR-6511b-5p	-0.004157586250151922	0.9052600061806693
hsa-miR-7160-3p	-0.004338955089918415	0.901147836943937
hsa-miR-520d-3p	-0.004368533946657356	0.9004774446790414
hsa-miR-605-5p	-0.0043818583398657325	0.9001754760688491
hsa-miR-4738-5p	-0.004431271595492356	0.8990557575447188
hsa-miR-4795-3p	-0.004441090858902747	0.8988332740386975
