MiRBase ID	Family
hsa-mir-193a	MIR-193
hsa-mir-365a	MIR-193
hsa-mir-365b	MIR-193
hsa-mir-194-1	MIR-194
hsa-mir-194-2	MIR-194
hsa-mir-196b	MIR-196
hsa-mir-196a-1	MIR-196
hsa-mir-196a-2	MIR-196
hsa-mir-197	MIR-197
hsa-mir-199a-2	MIR-199
hsa-mir-199b	MIR-199
hsa-mir-199a-1	MIR-199
hsa-mir-202	MIR-202
hsa-mir-203a	MIR-203
hsa-mir-211	MIR-204
hsa-mir-204	MIR-204
hsa-mir-205	MIR-205
hsa-mir-208b	MIR-208
hsa-mir-208a	MIR-208
hsa-mir-210	MIR-210
hsa-mir-214	MIR-214
hsa-mir-216b	MIR-216
hsa-mir-216a	MIR-216
hsa-mir-217	MIR-217
hsa-mir-218-1	MIR-218
hsa-mir-218-2	MIR-218
hsa-mir-219a-2	MIR-219
hsa-mir-219b	MIR-219
hsa-mir-219a-1	MIR-219
hsa-mir-222	MIR-221
hsa-mir-221	MIR-221
hsa-mir-223	MIR-223
hsa-mir-224	MIR-224
hsa-mir-296	MIR-296
hsa-mir-320a	MIR-320
hsa-mir-320b-1	MIR-320
hsa-mir-320b-2	MIR-320
hsa-mir-320c-1	MIR-320
hsa-mir-320c-2	MIR-320
hsa-mir-324	MIR-324
hsa-mir-325	MIR-325
hsa-mir-326	MIR-326
hsa-mir-328	MIR-328
hsa-mir-330	MIR-330
hsa-mir-331	MIR-331
hsa-mir-335	MIR-335
	MIR-337
hsa-mir-337	MIR-337
hsa-mir-338	MIR-338
hsa-mir-3065	MIR-338
hsa-mir-339	MIR-339
hsa-mir-340	MIR-340
hsa-mir-342	MIR-342
hsa-mir-345	MIR-345
hsa-mir-346	MIR-346
hsa-mir-361	MIR-361
hsa-mir-500a	MIR-362
hsa-mir-500b	MIR-362
hsa-mir-362	MIR-362
hsa-mir-501	MIR-362
hsa-mir-502	MIR-362
hsa-mir-370	MIR-370
hsa-mir-374a	MIR-374
hsa-mir-374b	MIR-374
hsa-mir-375	MIR-375
	MIR-376
hsa-mir-376c	MIR-376
hsa-mir-376a-2	MIR-376
hsa-mir-376b	MIR-376
hsa-mir-376a-1	MIR-376
hsa-mir-378a	MIR-378
hsa-mir-383	MIR-383
hsa-mir-545	MIR-421
hsa-mir-421	MIR-421
hsa-mir-423	MIR-423
hsa-mir-425	MIR-425
hsa-mir-302b	MIR-430
hsa-mir-302c	MIR-430
hsa-mir-302a	MIR-430
hsa-mir-302d	MIR-430
hsa-mir-371a	MIR-430
hsa-mir-372	MIR-430
hsa-mir-373	MIR-430
hsa-mir-512-2	MIR-430
hsa-mir-512-1	MIR-430
hsa-mir-1323	MIR-430
hsa-mir-498	MIR-430
hsa-mir-520e	MIR-430
hsa-mir-515-2	MIR-430
hsa-mir-515-1	MIR-430
hsa-mir-519e	MIR-430
hsa-mir-520f	MIR-430
hsa-mir-519c	MIR-430
hsa-mir-1283-1	MIR-430
hsa-mir-1283-2	MIR-430
hsa-mir-520a	MIR-430
hsa-mir-526b	MIR-430
hsa-mir-519b	MIR-430
hsa-mir-525	MIR-430
hsa-mir-523	MIR-430
hsa-mir-518f	MIR-430
hsa-mir-520b	MIR-430
hsa-mir-518b	MIR-430
hsa-mir-526a-1	MIR-430
hsa-mir-520c	MIR-430
hsa-mir-518c	MIR-430
hsa-mir-524	MIR-430
hsa-mir-517a	MIR-430
hsa-mir-517b	MIR-430
hsa-mir-517c	MIR-430
hsa-mir-519d	MIR-430
hsa-mir-521-2	MIR-430
hsa-mir-521-1	MIR-430
hsa-mir-520d	MIR-430
hsa-mir-520h	MIR-430
hsa-mir-520g	MIR-430
hsa-mir-516b-2	MIR-430
hsa-mir-516b-1	MIR-430
hsa-mir-526a-2	MIR-430
hsa-mir-518e	MIR-430
hsa-mir-518a-1	MIR-430
hsa-mir-518a-2	MIR-430
hsa-mir-527	MIR-430
hsa-mir-518d	MIR-430
hsa-mir-522	MIR-430
hsa-mir-519a-1	MIR-430
