miRNA	B cells	Basophils	CD4+ T cells	CD8+ T cells	Eosinophils	Erythrocytes	Monocytes	Natural killer cells	Neutrophils	Plasma	Thrombocytes
hsa-let-7a-3p	7.8299344638777075	9.821753375999233	16.73720593875143	22.47170570529577	26.35362115133817	7.258462032086862	46.09206979885101	19.076391647810837	14.827425455146091	3.041619050631589	5.587055611192487
hsa-let-7a-5p	59742.214652575196	45127.85306259893	30576.69534905131	36436.923446602836	52137.613081567215	84689.31942258308	48714.3714480647	79328.46581071768	21474.86443919744	6606.100570255429	19602.71036814172
hsa-let-7b-3p	7.652626999963113	8.68240873720926	8.525388547035051	8.50023827978253	16.567568465004342	4.07430571583957	21.40848554463005	17.740585317461495	10.413603866447723	7.57630496683849	3.1099215349259643
hsa-let-7b-5p	11396.760379471296	13961.412195318611	7921.1858666677135	8079.192024821422	13154.060812768566	42093.70785483632	12275.472229303463	17564.36718389848	6231.800397664426	18255.23870733971	5552.576213842893
hsa-let-7c-5p	353.3203445971392	734.3898770757519	329.09315240288754	450.09196368829174	667.5414893813202	501.1002031364335	284.0991072117638	698.397268519631	143.45642151640573	163.5622827136688	284.9233950910475
hsa-let-7d-3p	119.81955736941607	80.3147895944193	48.0572257360902	62.36383238742282	177.4667414411619	115.41923199415206	181.76336842902433	102.6203203377254	196.27229577770854	207.90347452558254	177.07377845312124
hsa-let-7d-5p	2114.8729603105244	794.7231855946073	1315.97157113104	1767.509944300909	1695.127958141536	3574.5078004250727	2089.3089190616674	1838.8524122438303	1034.367463034102	1000.7317007271174	1372.6434191202827
hsa-let-7e-5p	332.1402236287522	1989.3429909781498	418.14411050490605	368.5362589765052	454.0705232652595	159.15861256537397	267.5913569793359	479.2837179566287	381.6800941348966	27.698324519872028	799.5367449567195
hsa-let-7f-1-3p	1.683409949013298	1.777899037105011	2.296319213148596	2.857611385160077	3.755520923799838	0.7305204477448748	13.11284803753544	3.2368199961692183	1.947298514419211	0.487491985474113	1.086083125442849
hsa-let-7f-2-3p	1.3532349207174996	1.1776637669366123	2.342015089910379	6.597492768095645	5.449184103920177	0.5426417893280251	5.107396353887835	4.571875781380198	2.0838600911143406	0.846523894947477	0.98134616233607
hsa-let-7f-5p	50692.037105416726	43849.20835575892	32090.717956015156	34089.27707383032	38972.89523907219	51280.20014034033	47591.464733140674	72423.91207952372	13408.436170742727	2717.968553819114	20152.685821248895
hsa-let-7g-3p	17.251390185180362	8.967195051242506	30.220693192403818	52.023142573108345	6.093222567202532	2.101582744648734	9.347291427933065	19.431156384882385	5.172521928385549	1.51007082946303	1.1862736436871695
hsa-let-7g-5p	16275.85974518559	7085.012049530638	21665.15927054579	20535.987674268687	7137.712842318113	5703.815466353953	5869.122255263035	20307.7134740208	2933.6060223352315	1190.5187354077184	1526.3954744802488
hsa-let-7i-3p	88.17496299187866	25.566500091710523	63.448374185157675	127.08383464630893	54.30846253383369	11.923193799966594	52.19901502910457	50.700440116769144	55.66011065595333	7.594839563996809	4.340443603724994
hsa-let-7i-5p	23235.51349299034	10040.436564952955	13937.45076758059	15017.802865824064	10430.590529374684	24223.70083002961	18275.304301749406	17036.630372604708	4206.073017005934	5514.154320924214	7523.778624158503
hsa-miR-1-3p	5.7675260710883	5.510163557830858	0.7380304266508512	2.8821026377520003	1.358061983581025	0.3329688916810968	1.1268589788015424	32.308467975573805	0.4521786126906772	11.620417507910384	252.79597569117843
hsa-miR-100-5p	1.2122607403733314	8.830499382311066	5.819414089036755	12.224346427217938	88.28976794450332	3.8358162112893783	13.316001322122759	4.524117390812451	4.485393915860447	24.379435728484346	7.825420529840667
hsa-miR-101-3p	3001.030733768072	2506.3804636599393	5235.839868551539	10024.276524393914	1672.542973760041	6724.060693656846	1801.6909336336348	2987.303335159506	5073.203099868181	4683.601267166145	1505.9775966176476
hsa-miR-101-5p	5.384788114496469	1.774199932738728	10.112218240316853	18.991203288417594	2.1013312772099217	4.9994165691147465	2.1954537011137973	4.23145960119701	6.961782916453226	1.6958535873295095	0.36876204637641713
hsa-miR-10392-5p	2.5328939760265934	1.1019273654286625	1.1552383465731229	0.6987529818995809	1.4399150209071558	0.002197683146166621	0.44040569678799873	1.1483909930499274	0.3502720726361278	0.0	0.023218527353514328
hsa-miR-10395-3p	5.185083282249936	3.428514973363321	1.5021184240608314	3.130049245191403	2.7552912600090833	0.02143158174885072	1.2535655533344718	4.080755043431379	0.9334918329719031	0.02710402607310771	0.07232768718431498
hsa-miR-10397-5p	1.839205866480164	0.24888309084599622	1.1392124470313507	1.9142906588594157	1.6052682728842704	0.0	0.7396289034971991	1.3762974962829775	0.5651425683002483	0.0	0.013555723962853245
hsa-miR-10398-3p	15.909683104600383	0.9569955787098691	0.4821995244883511	1.5375655841349951	0.44766101391148116	0.0	1.13351414112409	4.930763796655598	1.0160188256622318	0.030972993425013962	0.024792589210323377
hsa-miR-10398-5p	6.028327739025855	0.0012395764097180334	0.15381003423861275	0.7994411998115467	0.0935834634117178	0.0	0.22627109318097816	2.5372380254335516	0.35386295296114734	0.025049067926751968	0.005167349690178307
hsa-miR-10399-3p	1.786484588127612	2.426687152037971	2.3208640284397304	4.675219461873537	5.979318369931826	0.2375684430730496	3.6955247710027073	5.283844263831754	1.9155809681118705	0.7814089185548033	0.6146760067123564
hsa-miR-10399-5p	1.694495370807712	3.278365138977886	4.196232067593883	5.202565702188623	7.2367690271975365	0.41741555663005625	4.850348183412008	7.0239607173793335	2.8880552119886382	0.4849159992552433	1.3929235379739893
hsa-miR-103a-3p	4677.130956436858	3589.946150953187	4794.798827918578	8276.72372850903	12679.530961015056	12332.729225855774	18841.335219067216	10145.326146804327	9139.181734946966	3569.1635573005124	10105.84333637151
hsa-miR-10401-3p	0.7740901975579685	0.0	0.38938767891557324	0.7363437466530534	0.08376164979433215	3.767872210877533	0.5355595746625588	0.49719255805166385	0.1460820761589951	11.2547316397694	0.787396561767634
hsa-miR-10527-5p	4.14711519357285	1.427900622478528	1.2355482128892739	1.8496674607539427	2.9989258179376295	3.523149799235848	2.2542933935860003	2.8777465846703825	1.8145952686831444	5.18229262576931	1.3418996153908453
hsa-miR-106a-3p	1.4910770309026395	2.3730050246580707	2.37860526738061	2.733227006306536	1.2953245342540107	1.6228589530997832	2.152769839463434	17.98156100917513	0.1973301845109846	0.49929711071572613	0.5757690787066653
hsa-miR-106a-5p	10.75593537941262	3.416113681866999	17.836784420278633	14.42509322100621	8.433992635290487	26.85271414694483	17.7647285436146	14.170850193679723	6.734206078868644	9.108639074482255	19.272808873148655
hsa-miR-106b-3p	152.0676834848094	87.45411802414472	106.52683909977432	249.50556582437855	315.4931787415723	251.9667824610243	181.53710494005264	226.19367104007833	186.82298877538403	288.8604180706642	61.288214445062515
hsa-miR-106b-5p	28.875876436373467	14.481475659333283	18.205393569016	30.264552090539794	74.37782712149578	58.560027666904034	52.010585889947706	36.58575325474246	62.388653512933466	14.109593110013241	14.886353391519677
hsa-miR-107	484.12587128486666	213.66758668884933	559.6383479032852	1068.5152878671129	476.9230066381764	1612.2685237443138	599.8511278008706	734.109790221449	303.9851312396757	987.8285571714348	317.35311554258857
hsa-miR-10a-3p	0.5443980882617127	1.9404455329764208	3.9470395557013833	4.916198798998409	0.5682822472593312	0.050140181425790326	0.5401417215115573	22.4580022083614	0.5003017393382175	2.8403877574876653	1.6824230062169971
hsa-miR-10a-5p	23.28564708942163	157.87837985683854	141.14327236987788	195.744869289427	39.858735230265566	2.400992829888053	16.653613981287943	820.6518576989872	15.320480910938588	74.28327094777363	85.00271723252023
hsa-miR-10b-5p	7.054718097897848	0.3866325540174259	0.6828496143808981	2.228527428798949	0.28076039814048687	0.009690675730627228	1.9321692051683843	1.7319805228788194	0.04723047640895202	113.49187277528601	0.20995273646236126
hsa-miR-11400	6.265140152844828	0.7175075614882694	0.07533341625953933	0.13106181326842867	0.4128761017554778	0.0031280176003032996	0.53390723801265	0.15684676730300703	0.0718857663338053	1.0150265491783372	55.96075532993982
hsa-miR-11401	0.07061407607892614	0.0	0.004789998964170467	0.0	0.023734630667480917	1.5746661727411335	0.03477435127391077	0.01950627804208147	0.023697483767182583	1.4935168644541745	0.7746129840683712
hsa-miR-1179	4.408091267043764	1.865901504607804	1.8208403934693964	3.669944630569209	1.2881442036629065	0.40030380647052444	1.589322141942286	4.229490092647753	0.8341204967783435	0.12964781350612303	1.9926070673769039
