Sample	cell_type	Bases
SRR23591095	Erythrocytes	1971002671
SRR23591096	Erythrocytes	1960088196
SRR23591097	Erythrocytes	2156445725
SRR23591098	Erythrocytes	2207071636
SRR23591099	Erythrocytes	1926293758
SRR23591100	Erythrocytes	1509652907
SRR23591101	Erythrocytes	2024055078
SRR23591102	Erythrocytes	2073154205
SRR23591103	Erythrocytes	2113188975
SRR23591104	Erythrocytes	1630284179
SRR23591105	Erythrocytes	1949881591
SRR23591106	Erythrocytes	2711424041
SRR23591107	Erythrocytes	1803602421
SRR23591108	Erythrocytes	1776912953
SRR23591109	CD8+ T cells	1180398004
SRR23591110	CD8+ T cells	1164805694
SRR23591111	CD8+ T cells	1062760021
SRR23591112	CD8+ T cells	4235035690
SRR23591113	CD8+ T cells	717065139
SRR23591114	CD8+ T cells	1098369006
SRR23591115	CD8+ T cells	1667180039
SRR23591116	CD8+ T cells	441884688
SRR23591117	CD8+ T cells	595483887
SRR23591118	CD8+ T cells	832199875
SRR23591119	CD8+ T cells	3732721198
SRR23591120	CD8+ T cells	573609781
SRR23591121	CD8+ T cells	1978454263
SRR23591122	CD8+ T cells	302946847
SRR23591123	CD8+ T cells	1611301335
SRR23591124	CD8+ T cells	802968252
SRR23591125	CD8+ T cells	809636572
SRR23591126	CD8+ T cells	1469294022
SRR23591127	CD8+ T cells	3448924684
SRR23591128	CD8+ T cells	1727416368
SRR23591129	CD8+ T cells	1733878433
SRR23591130	CD8+ T cells	2003251794
SRR23591131	CD8+ T cells	1697185633
SRR23591132	CD8+ T cells	1361798744
SRR23591133	CD4+ T cells	1655799432
SRR23591134	CD4+ T cells	1634677044
SRR23591135	Basophils	2948973853
SRR23591136	Basophils	2512120438
SRR23591137	Basophils	1689961951
SRR23591138	Basophils	2328858362
SRR23591139	Basophils	2081789722
SRR23591140	Basophils	1878447568
SRR23591141	Basophils	1678765322
SRR23591142	Basophils	2159304043
SRR23591143	Basophils	573102699
SRR23591144	Basophils	1647298761
SRR23591145	Basophils	1550220745
SRR23591146	Basophils	2505403554
SRR23591147	Basophils	1270661085
SRR23591148	Basophils	840196889
SRR23591149	Basophils	368361561
SRR23591150	Basophils	899020176
SRR23591151	Basophils	1399193947
SRR23591152	Basophils	2486643437
SRR23591153	Basophils	1713090911
SRR23591154	Basophils	2894423488
SRR23591155	Basophils	2765960703
SRR23591156	Basophils	1895294661
SRR23591157	B cells	2095953441
SRR23591158	B cells	1714556706
SRR23591159	B cells	2121388055
SRR23591160	B cells	985730417
SRR23591161	B cells	1036207654
SRR23591162	B cells	1187256817
SRR23591163	B cells	1808380508
SRR23591164	B cells	703666090
SRR23591165	B cells	1595538554
SRR23591166	B cells	1705331818
SRR23591167	B cells	1852123679
SRR23591168	B cells	1853866942
SRR23591169	B cells	1190341767
SRR23591170	B cells	1763207255
SRR23591171	B cells	1267009129
SRR23591172	B cells	957871404
SRR23591173	B cells	1378910148
SRR23591174	B cells	1564965696
SRR23591175	B cells	1044386448
SRR23591176	B cells	1409556540
SRR23591177	B cells	287841960
SRR23591178	B cells	1342052880
SRR23591179	B cells	1260002856
SRR23591180	B cells	1153827024
SRR23591181	B cells	1043607684
SRR23591182	B cells	976264044
SRR23591183	B cells	1213104816
SRR23591199	Plasma	566468317
SRR23591200	Plasma	28746906
SRR23591201	Plasma	746655880
SRR23591202	Plasma	251598724
SRR23591203	Plasma	216046255
SRR23591204	Plasma	330331263
SRR23591205	Plasma	232676372
SRR23591206	Plasma	68054281
SRR23591207	Plasma	423962584
SRR23591208	Plasma	86967758
SRR23591209	Plasma	160349595
SRR23591210	Plasma	469851517
SRR23591211	Plasma	254039704
SRR23591212	Plasma	164131268
SRR23591213	Plasma	410610324
SRR23591214	Plasma	380572425
SRR23591215	Plasma	542278262
SRR23591216	Plasma	1198570380
SRR23591217	Plasma	1336623204
SRR23591218	Plasma	1359203496
SRR23591219	Plasma	1760364144
SRR23591220	Plasma	1394262912
SRR23591221	Plasma	1523950596
SRR23591222	Plasma	1172348688
SRR23591235	Thrombocytes	496321808
SRR23591236	Thrombocytes	1309383684
SRR23591237	Thrombocytes	1170312528
SRR23591238	Thrombocytes	1629373200
SRR23591239	Thrombocytes	1999630584
SRR23591240	Thrombocytes	2448476184
SRR23591241	Thrombocytes	1882709640
SRR23591242	Thrombocytes	1487194128
SRR23591243	Thrombocytes	1504736604
SRR23591244	Thrombocytes	2062595220
SRR23591245	Thrombocytes	1453240824
SRR23591246	Thrombocytes	1489880280
SRR23591247	Thrombocytes	1581491604
SRR23591248	Plasma	647308207
SRR23591249	Plasma	178353278
SRR23591250	Plasma	73829705
SRR23591251	Plasma	258466554
SRR23591252	Plasma	460984469
SRR23591253	Plasma	533650271
SRR23591254	Plasma	421422843
SRR23591255	Plasma	682823046
SRR23591256	Plasma	746044641
SRR23591257	Plasma	1124311483
SRR23591258	Plasma	590391199
SRR23591259	Natural killer cells	1361304442
SRR23591260	Natural killer cells	1534803228
SRR23591261	Natural killer cells	1330761096
SRR23591262	Natural killer cells	1245633564
SRR23591263	Natural killer cells	1252721400
SRR23591264	Natural killer cells	1732987704
SRR23591265	Natural killer cells	1334678604
SRR23591266	Natural killer cells	1533515088
SRR23591267	Natural killer cells	1146032244
SRR23591268	Natural killer cells	1693080228
SRR23591269	Natural killer cells	1820281092
SRR23591270	Natural killer cells	1248327528
SRR23591271	Monocytes	1171454986
SRR23591272	Monocytes	1215115442
SRR23591273	Monocytes	1260398816
SRR23591274	Monocytes	1094276779
SRR23591275	Monocytes	1154627631
SRR23591276	Monocytes	1313987841
SRR23591277	Monocytes	1260187946
SRR23591278	Monocytes	1206011609
SRR23591279	Monocytes	732873786
SRR23591280	Monocytes	941223925
SRR23591281	Monocytes	884799586
SRR23591282	Monocytes	758767060
SRR23591283	Erythrocytes	1793584463
SRR23591284	Erythrocytes	1745775406
SRR23591285	Erythrocytes	1710243598
