miRNA	B cells	Basophils	CD4+ T cells	CD8+ T cells	Eosinophils	Erythrocytes	Monocytes	Natural killer cells	Neutrophils	Plasma	Thrombocytes	Tissue_of_max_Expresison	TSI
hsa-let-7a-3p	7.8299344638777075	9.821753375999233	16.73720593875143	22.47170570529577	26.35362115133817	7.258462032086862	46.09206979885101	19.07639164781084	14.827425455146091	3.041619050631589	5.587055611192487	Monocytes	0.711435882544277
hsa-let-7a-5p	59742.2146525752	45127.85306259893	30576.69534905131	36436.92344660284	52137.613081567215	84689.31942258308	48714.3714480647	79328.46581071768	21474.86443919744	6606.100570255429	19602.71036814172	Erythrocytes	0.5279832038393066
hsa-let-7b-3p	7.652626999963113	8.68240873720926	8.525388547035051	8.50023827978253	16.567568465004342	4.07430571583957	21.40848554463005	17.740585317461495	10.413603866447724	7.57630496683849	3.1099215349259643	Monocytes	0.5663263884922697
hsa-let-7b-5p	11396.760379471296	13961.412195318611	7921.1858666677135	8079.192024821422	13154.060812768566	42093.70785483632	12275.472229303465	17564.36718389848	6231.800397664426	18255.23870733971	5552.576213842893	Erythrocytes	0.728244263001047
hsa-let-7c-5p	353.3203445971392	734.3898770757519	329.09315240288754	450.0919636882917	667.5414893813202	501.1002031364335	284.0991072117638	698.397268519631	143.45642151640573	163.5622827136688	284.9233950910475	Basophils	0.47227137121079565
hsa-let-7d-3p	119.81955736941607	80.3147895944193	48.0572257360902	62.36383238742282	177.4667414411619	115.41923199415206	181.76336842902435	102.6203203377254	196.2722957777085	207.9034745255825	177.07377845312124	Plasma	0.3933862123285223
hsa-let-7d-5p	2114.8729603105244	794.7231855946073	1315.97157113104	1767.509944300909	1695.127958141536	3574.5078004250727	2089.3089190616674	1838.8524122438305	1034.367463034102	1000.7317007271174	1372.6434191202827	Erythrocytes	0.5796873199751031
hsa-let-7e-5p	332.1402236287522	1989.3429909781496	418.14411050490605	368.5362589765052	454.0705232652595	159.15861256537397	267.5913569793359	479.2837179566287	381.6800941348966	27.698324519872028	799.5367449567195	Basophils	0.814620204549294
hsa-let-7f-1-3p	1.683409949013298	1.777899037105011	2.296319213148596	2.857611385160077	3.755520923799838	0.7305204477448748	13.11284803753544	3.2368199961692183	1.947298514419211	0.487491985474113	1.086083125442849	Monocytes	0.8485533080179768
hsa-let-7f-2-3p	1.3532349207174996	1.1776637669366123	2.342015089910379	6.597492768095645	5.449184103920177	0.5426417893280251	5.107396353887835	4.571875781380198	2.083860091114341	0.846523894947477	0.98134616233607	CD8+ T cells	0.6293176390773412
hsa-let-7f-5p	50692.037105416726	43849.20835575892	32090.71795601516	34089.27707383032	38972.89523907219	51280.20014034033	47591.464733140674	72423.91207952372	13408.436170742729	2717.968553819114	20152.68582124889	Natural killer cells	0.5376597569298454
hsa-let-7g-3p	17.251390185180362	8.967195051242506	30.220693192403814	52.023142573108345	6.093222567202532	2.101582744648734	9.347291427933063	19.431156384882385	5.172521928385549	1.51007082946303	1.1862736436871697	CD8+ T cells	0.8053147254364768
hsa-let-7g-5p	16275.85974518559	7085.012049530638	21665.15927054579	20535.987674268687	7137.712842318113	5703.815466353953	5869.122255263035	20307.7134740208	2933.6060223352315	1190.5187354077184	1526.3954744802488	CD4+ T cells	0.5912065882683314
hsa-let-7i-3p	88.17496299187866	25.566500091710523	63.44837418515768	127.08383464630892	54.30846253383369	11.923193799966594	52.19901502910457	50.70044011676914	55.66011065595333	7.594839563996809	4.340443603724994	CD8+ T cells	0.6742966218134038
hsa-let-7i-5p	23235.51349299034	10040.436564952955	13937.45076758059	15017.802865824064	10430.590529374684	24223.70083002961	18275.30430174941	17036.630372604708	4206.073017005934	5514.154320924214	7523.778624158503	Erythrocytes	0.48307760347694023
hsa-miR-1-3p	5.7675260710883	5.510163557830858	0.7380304266508512	2.8821026377520003	1.358061983581025	0.3329688916810968	1.1268589788015424	32.308467975573805	0.4521786126906772	11.620417507910384	252.79597569117843	Thrombocytes	0.9754360106114112
hsa-miR-100-5p	1.2122607403733314	8.830499382311066	5.819414089036755	12.224346427217938	88.28976794450332	3.8358162112893774	13.31600132212276	4.524117390812451	4.485393915860447	24.379435728484346	7.825420529840667	Eosinophils	0.902080719261046
hsa-miR-101-3p	3001.030733768072	2506.38046365994	5235.839868551539	10024.276524393914	1672.542973760041	6724.060693656846	1801.6909336336348	2987.303335159506	5073.203099868181	4683.601267166145	1505.9775966176476	CD8+ T cells	0.648935951834496
hsa-miR-101-5p	5.384788114496469	1.774199932738728	10.112218240316851	18.991203288417594	2.1013312772099217	4.9994165691147465	2.1954537011137973	4.23145960119701	6.961782916453226	1.6958535873295095	0.3687620463764171	CD8+ T cells	0.7902962472597226
hsa-miR-10392-5p	2.5328939760265934	1.1019273654286623	1.1552383465731229	0.6987529818995809	1.4399150209071558	0.0021976831461666	0.4404056967879987	1.1483909930499274	0.3502720726361278	0.0	0.0232185273535143	B cells	0.7488912387181784
hsa-miR-10395-3p	5.185083282249936	3.428514973363321	1.5021184240608314	3.130049245191403	2.7552912600090838	0.0214315817488507	1.2535655533344718	4.080755043431379	0.9334918329719032	0.0271040260731077	0.0723276871843149	B cells	0.6681895219259981
hsa-miR-10397-5p	1.839205866480164	0.2488830908459962	1.1392124470313507	1.914290658859416	1.6052682728842704	0.0	0.7396289034971991	1.3762974962829777	0.5651425683002483	0.0	0.0135557239628532	CD8+ T cells	0.6067893695009744
hsa-miR-10398-3p	15.909683104600385	0.9569955787098692	0.4821995244883511	1.5375655841349951	0.4476610139114811	0.0	1.13351414112409	4.930763796655598	1.0160188256622318	0.0309729934250139	0.0247925892103233	B cells	0.9336222853850036
hsa-miR-10398-5p	6.028327739025855	0.001239576409718	0.1538100342386127	0.7994411998115467	0.0935834634117178	0.0	0.2262710931809781	2.537238025433552	0.3538629529611473	0.0250490679267519	0.0051673496901783	B cells	0.9304008848772014
